Parameters,ionstr,bb,ek,gnbc,nb,vr,gnaleak,zeta,bi0,jac,g_bi,gnak,buf,bl,bi,ni,kbi,kcl,cb,gcftron,gcftrbase,cap,r,f,temp,gapl,gapbl,g_cl,chi,ci,rat,epump,gk,np0
Descriptor,maximum concentration of luminal bicarbonate in the duct,bicarbonate basolateral concentration,potassium electric potential,sodium bicarbonate channel conductance,sodium basolateral concentration,volume ratio (1:10 in original model),sodium leak conductance,uniform scaling of all conductances and permeabilities,initial bicarbonate concentration,flux associated with resting acinar cell,bicarbonate conductance,sodium potassium pump conductance,buffer,bicarbonate luminal concentration,bicarbonate intracellular concentration,sodium intracellular concentration,bicarbonate antiporter constant,chloride antiporter constant,chloride basolateral concentration,cftr open conductance,cftr closed conductance,membrane capacitance,ideal gas constant,faraday constant,body temperature in Kelvin,luminal antiporter conductance,basolateral antiporter conductance,chloride conductance,,intracellular chloride concentration,molar ratio of bicarbonate to chloride in the acinar cell source,voltage associated with sodium/potassium ion pump,potassium conductance,initial sodium concentration
S1,0.770428399,0.10549138,0.080542969,0.020340137,0.017063603,0.01685024,0.009929716,0.006160382,0.004815016,0.00181251,0.000870455,0.000493678,0.000404429,7.05E-05,2.43E-05,8.74E-06,0,0,0,0,0,0,0,0,0,0,0,-6.99E-06,-4.60E-05,-0.000236308,-0.00057345,-0.002894989,-0.010903073,-0.029667236
S1_conf,0.201506906,0.12600824,0.086831378,0.020138348,0.039461773,0.0248812,0.038531385,0.013604451,0.016094442,0.016400692,0.00767239,0.00578253,0.00048713,0.000117439,3.62E-05,3.77E-05,0,0,0,0,0,0,0,0,0,0,0,0.000260415,0.000113845,0.00207225,0.001085389,0.01171249,0.02021173,0.047017988
ST,0.771058434,0.110927189,0.075201851,0.006199798,0.016731561,0.007803807,0.016359812,0.002024484,0.003006232,0.003071189,0.000576182,0.000437291,2.82E-06,2.19E-07,2.79E-08,2.39E-08,0,0,0,0,0,0,0,0,0,0,0,8.73E-07,2.78E-07,0.000136745,1.24E-05,0.002357885,0.006195536,0.015740323
ST_conf,0.188659605,0.051847185,0.041279221,0.003134539,0.007935722,0.003434557,0.008327387,0.000859521,0.001598781,0.001108878,0.000206188,0.000176839,1.14E-06,8.85E-08,2.13E-08,1.86E-08,0,0,0,0,0,0,0,0,0,0,0,3.08E-07,9.05E-08,0.000144207,5.50E-06,0.000790901,0.002459684,0.008925484
S2,"[        nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan  0.00584961  0.02534764  0.00968537  0.0201498   0.01015094
  0.00636648 -0.00821538  0.00619202  0.00619202]","[        nan         nan         nan         nan         nan         nan
         nan  0.00340288  0.00340252  0.00348995  0.00310722 -0.00447067
  0.0034109   0.00341138  0.00369632  0.00333885  0.00340288  0.00340288
 -0.01225728  0.00825409  0.00340288  0.00340288  0.00340288  0.00340288
 -0.03693543  0.00419172  0.01296533  0.00341723 -0.00639428  0.00639476
  0.00346676  0.00177016  0.00340288  0.00340288]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan 0.02102838 0.01685601 0.01685601 0.01685601 0.01685601
 0.01515574 0.01586067 0.01838837 0.01383793 0.01172744 0.01654782
 0.01667901 0.02054989 0.01685601 0.01685601]","[        nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan -0.01463766 -0.01463766]","[        nan         nan         nan         nan         nan         nan
  0.00577121 -0.0028183  -0.00281823 -0.00122342 -0.0027872  -0.00178049
 -0.00281706 -0.00281939 -0.00263063 -0.00282672 -0.0028183  -0.0028183
 -0.00399618 -0.00350519 -0.0028183  -0.0028183  -0.0028183  -0.0028183
 -0.02868977 -0.0028349  -0.00143833 -0.00446149 -0.00165217 -0.00145225
 -0.00282716 -0.00519719 -0.0028183  -0.0028183 ]","[        nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan -0.0116004  -0.01119606
 -0.01159286 -0.01161177 -0.01204774 -0.01160906 -0.01160977 -0.01160977
 -0.0144632  -0.01179189 -0.01160977 -0.01160977 -0.01160977 -0.01160977
 -0.01570895 -0.01134047 -0.01203914 -0.01249608 -0.0090038  -0.01212973
 -0.01157853 -0.00941067 -0.01160977 -0.01160977]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan 0.00972415
 0.00982549 0.00918378 0.00976553 0.00976553]","[        nan         nan         nan -0.0023102  -0.0023102  -0.00242836
 -0.00070936 -0.0023102  -0.00230995 -0.00260889 -0.00232013 -0.00192902
 -0.00231177 -0.00230866 -0.00225232 -0.00230909 -0.0023102  -0.0023102
 -0.00392671 -0.00205822 -0.0023102  -0.0023102  -0.0023102  -0.0023102
 -0.00433094 -0.001977   -0.00176016 -0.00262951 -0.00337279 -0.00265128
 -0.00232959 -0.00339579 -0.0023102  -0.0023102 ]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
 0.01361095 0.01361067 0.01347784 0.01361504 0.01361156 0.01361156
 0.00702905 0.01400403 0.01361156 0.01361156 0.01361156 0.01361156
 0.0104602  0.01366886 0.0141353  0.01346604 0.01334229 0.01397829
 0.01364122 0.01301679 0.01361156 0.01361156]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
 0.00193048 0.00148121 0.00199734 0.00199734]","[        nan -0.0006097  -0.00060183 -0.00060465 -0.00060465 -0.0005441
 -0.00102459 -0.00060465 -0.00060469 -0.00032692 -0.00060901 -0.00060113
 -0.0006063  -0.00060478 -0.0005166  -0.00060429 -0.00060465 -0.00060465
  0.00088742 -0.00049403 -0.00060465 -0.00060465 -0.00060465 -0.00060465
 -0.00182481 -0.00052773 -0.00116831 -0.00079967 -0.00020979 -0.0006936
 -0.00061086 -0.000777   -0.00060465 -0.00060465]","[        nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan -0.00150622 -0.00039689 -0.00163325 -0.00047647
 -0.00072991 -0.00079313 -0.00075567 -0.00075567]","[            nan             nan             nan             nan
             nan             nan             nan             nan
             nan             nan             nan  9.73881848e-05
  9.86642334e-05  9.90176968e-05  1.02544882e-04  9.88047819e-05
  9.90110577e-05  9.90110577e-05  1.44457050e-06  9.64170598e-05
  9.90110577e-05  9.90110577e-05  9.90110577e-05  9.90110577e-05
 -1.19308905e-04  9.50958618e-05  7.78990659e-05  1.00187064e-04
 -1.63833326e-05  1.06983508e-04  9.88582014e-05  7.70790840e-05
  9.90110577e-05  9.90110577e-05]","[            nan             nan             nan             nan
             nan             nan             nan             nan
             nan             nan             nan             nan
             nan             nan             nan             nan
 -3.21925097e-05 -3.21925097e-05 -2.08697489e-05 -2.57359643e-05
 -3.21925097e-05 -3.21925097e-05 -3.21925097e-05 -3.21925097e-05
  5.53398797e-05 -2.93554573e-05 -2.75095388e-05 -3.56001399e-05
 -3.63191249e-05 -3.10521801e-05 -3.26699357e-05 -3.59876743e-05
 -3.21925097e-05 -3.21925097e-05]","[            nan             nan             nan             nan
             nan             nan             nan             nan
             nan             nan             nan             nan
             nan             nan -4.20152393e-05 -4.24095393e-05
 -4.24487126e-05 -4.24487126e-05 -3.44836606e-05 -4.46221846e-05
 -4.24487126e-05 -4.24487126e-05 -4.24487126e-05 -4.24487126e-05
  1.37172619e-06 -4.29713002e-05 -4.68789529e-05 -4.45248106e-05
 -3.55221209e-05 -4.61471170e-05 -4.26368960e-05 -4.64514690e-05
 -4.24487126e-05 -4.24487126e-05]","[            nan             nan             nan             nan
             nan             nan             nan             nan
             nan -2.97705630e-05 -2.98815297e-05 -2.94002729e-05
 -2.98724804e-05 -2.98677684e-05 -2.99012044e-05 -2.98680510e-05
 -2.98678136e-05 -2.98678136e-05 -2.16772766e-05 -3.08788054e-05
 -2.98678136e-05 -2.98678136e-05 -2.98678136e-05 -2.98678136e-05
  1.17706979e-06 -2.98661282e-05 -3.13277387e-05 -3.06550139e-05
 -3.02065906e-05 -2.80460335e-05 -2.98615709e-05 -2.96245834e-05
 -2.98678136e-05 -2.98678136e-05]","[           nan            nan            nan            nan
 0.00000000e+00 1.04083409e-17 0.00000000e+00 0.00000000e+00
 1.63951697e-17 0.00000000e+00 9.97465999e-18 8.67361738e-18
 1.06861677e-17 1.08826793e-17 9.02598309e-18 9.25637605e-18
 0.00000000e+00 0.00000000e+00 1.38777878e-17 1.73472348e-18
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.21571847e-18 1.73472348e-17 9.10729825e-18
 1.04083409e-17 4.33680869e-19 3.14418630e-18 1.38777878e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan 1.04083409e-17 0.00000000e+00 0.00000000e+00
 1.63951697e-17 0.00000000e+00 9.97465999e-18 8.67361738e-18
 1.06861677e-17 1.08826793e-17 9.02598309e-18 9.25637605e-18
 0.00000000e+00 0.00000000e+00 1.38777878e-17 1.73472348e-18
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.21571847e-18 1.73472348e-17 9.10729825e-18
 1.04083409e-17 4.33680869e-19 3.14418630e-18 1.38777878e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
 1.63951697e-17 0.00000000e+00 9.97465999e-18 8.67361738e-18
 1.06861677e-17 1.08826793e-17 9.02598309e-18 9.25637605e-18
 0.00000000e+00 0.00000000e+00 1.38777878e-17 1.73472348e-18
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.21571847e-18 1.73472348e-17 9.10729825e-18
 1.04083409e-17 4.33680869e-19 3.14418630e-18 1.38777878e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan 0.00000000e+00 1.38777878e-17 1.73472348e-18
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.21571847e-18 1.73472348e-17 9.10729825e-18
 1.04083409e-17 4.33680869e-19 3.14418630e-18 1.38777878e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan 1.38777878e-17 1.73472348e-18
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.21571847e-18 1.73472348e-17 9.10729825e-18
 1.04083409e-17 4.33680869e-19 3.14418630e-18 1.38777878e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.21571847e-18 1.73472348e-17 9.10729825e-18
 1.04083409e-17 4.33680869e-19 3.14418630e-18 1.38777878e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.21571847e-18 1.73472348e-17 9.10729825e-18
 1.04083409e-17 4.33680869e-19 3.14418630e-18 1.38777878e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan 0.00000000e+00
 0.00000000e+00 9.21571847e-18 1.73472348e-17 9.10729825e-18
 1.04083409e-17 4.33680869e-19 3.14418630e-18 1.38777878e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
 0.00000000e+00 9.21571847e-18 1.73472348e-17 9.10729825e-18
 1.04083409e-17 4.33680869e-19 3.14418630e-18 1.38777878e-17
 0.00000000e+00 0.00000000e+00]","[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan  0.]","[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan]","[            nan             nan  6.75179264e-05  6.19781052e-05
  6.19781052e-05  5.79266226e-05  6.27911366e-05  6.19781052e-05
  6.19801184e-05  7.26926883e-05  6.16552389e-05  5.63535029e-05
  6.19887193e-05  6.19415824e-05  6.31823523e-05  6.19382762e-05
  6.19781052e-05  6.19781052e-05  7.12807019e-05  8.19884042e-05
  6.19781052e-05  6.19781052e-05  6.19781052e-05  6.19781052e-05
 -1.10302919e-04  6.34916345e-05  8.05548230e-05  6.47070882e-05
  7.58514083e-05  5.05020165e-05  6.14226294e-05  4.08515595e-05
  6.19781052e-05  6.19781052e-05]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan 1.37848043e-04 1.37970095e-04 1.37829764e-04
 1.37828155e-04 1.37828155e-04 8.95285524e-05 1.43529323e-04
 1.37828155e-04 1.37828155e-04 1.37828155e-04 1.37828155e-04
 1.42118476e-04 1.36885774e-04 1.47620510e-04 1.40944528e-04
 1.42555038e-04 1.34273560e-04 1.37688206e-04 1.36876566e-04
 1.37828155e-04 1.37828155e-04]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan 0.00170462 0.0017049  0.0017049
 0.00089203 0.0015799  0.0017049  0.0017049  0.0017049  0.0017049
 0.00115449 0.00169531 0.00135743 0.00159224 0.00191847 0.00150736
 0.00170764 0.00206866 0.0017049  0.0017049 ]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan 0.00031889 0.00027242 0.00027242]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan 0.01101669 0.00964433
 0.00938171 0.01219656 0.0094126  0.0094126 ]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan 0.01212639 0.01212639 0.01212639 0.01212639
 0.00038716 0.01212064 0.0120676  0.01227404 0.01509495 0.01269193
 0.01222914 0.01044511 0.01212639 0.01212639]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan 0.04173377 0.04011363 0.04063564
 0.04148719 0.04422179 0.04147012 0.04147012]"
S2_conf,"[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan 0.23865799 0.22919752 0.23894028 0.24383208 0.23494549
 0.23897892 0.23513388 0.23930597 0.23930597]","[       nan        nan        nan        nan        nan        nan
        nan 0.15044306 0.15043996 0.14748108 0.15033516 0.15285825
 0.15043464 0.1504409  0.15034682 0.15043404 0.15044306 0.15044306
 0.14756909 0.15164838 0.15044306 0.15044306 0.15044306 0.15044306
 0.19402764 0.15026065 0.13991971 0.15094265 0.15552047 0.14733917
 0.15016871 0.1553375  0.15044306 0.15044306]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan 0.09732422 0.09933972 0.09933972 0.09933972 0.09933972
 0.13331499 0.09896104 0.09515604 0.09837761 0.10099474 0.10161301
 0.09931479 0.10418013 0.09933972 0.09933972]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan 0.03236579 0.03236579]","[       nan        nan        nan        nan        nan        nan
 0.05352242 0.04790467 0.04790462 0.04848786 0.04790102 0.04749071
 0.04790364 0.04790468 0.04788539 0.04790746 0.04790467 0.04790467
 0.04598933 0.04722258 0.04790467 0.04790467 0.04790467 0.04790467
 0.06385429 0.04770967 0.04580837 0.04781844 0.04957832 0.04806703
 0.04787919 0.04924622 0.04790467 0.04790467]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan 0.02612199 0.0263365
 0.02610612 0.02610648 0.02624164 0.02610738 0.02610587 0.02610587
 0.0286462  0.02603395 0.02610587 0.02610587 0.02610587 0.02610587
 0.04103402 0.02614194 0.02605431 0.02663854 0.02675666 0.02638586
 0.02606763 0.02594211 0.02610587 0.02610587]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan 0.05150881
 0.051357   0.05235039 0.05135917 0.05135917]","[       nan        nan        nan 0.01866529 0.01866529 0.01932409
 0.02230123 0.01866529 0.01866483 0.01835514 0.0186753  0.01833587
 0.01866828 0.01866493 0.01861674 0.01866616 0.01866529 0.01866529
 0.01769925 0.01850318 0.01866529 0.01866529 0.01866529 0.01866529
 0.02357926 0.01854223 0.0182575  0.0184732  0.01903945 0.01875067
 0.01867119 0.01945635 0.01866529 0.01866529]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
 0.02231261 0.02231319 0.02226947 0.02231249 0.02231319 0.02231319
 0.02213921 0.02234657 0.02231319 0.02231319 0.02231319 0.02231319
 0.02700766 0.02225232 0.02194943 0.02197553 0.02266676 0.02279075
 0.02230968 0.0230562  0.02231319 0.02231319]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
 0.0197574  0.01999589 0.01976863 0.01976863]","[       nan 0.00843095 0.00855715 0.00842971 0.00842971 0.0084136
 0.01088535 0.00842971 0.00842965 0.00834548 0.00843315 0.00845629
 0.00843102 0.00842968 0.00839611 0.00842892 0.00842971 0.00842971
 0.00815661 0.00838179 0.00842971 0.00842971 0.00842971 0.00842971
 0.01242073 0.00841063 0.00822034 0.00829097 0.0086353  0.0084531
 0.00842389 0.00869333 0.00842971 0.00842971]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan 0.0063694  0.0063515  0.00638298 0.0064424
 0.00638356 0.00665617 0.0063873  0.0063873 ]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan 0.00066866
 0.00068079 0.0006806  0.00068057 0.00068082 0.0006806  0.0006806
 0.00065171 0.000706   0.0006806  0.0006806  0.0006806  0.0006806
 0.00102656 0.00067097 0.00066875 0.00068507 0.00062676 0.0007137
 0.00068045 0.00070442 0.0006806  0.0006806 ]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan 0.00019031 0.00019031
 0.00017069 0.00018851 0.00019031 0.00019031 0.00019031 0.00019031
 0.00020512 0.0001898  0.00019089 0.0001905  0.00019374 0.00019157
 0.0001904  0.00019317 0.00019031 0.00019031]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan 7.80495907e-05 7.79759833e-05
 7.79731418e-05 7.79731418e-05 6.81483421e-05 7.80134851e-05
 7.79731418e-05 7.79731418e-05 7.79731418e-05 7.79731418e-05
 6.05755816e-05 7.82501801e-05 7.68730080e-05 8.12313937e-05
 8.50361192e-05 7.77472941e-05 7.78609815e-05 7.63759407e-05
 7.79731418e-05 7.79731418e-05]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan 5.55366651e-05 5.50493599e-05 5.45597835e-05
 5.50430877e-05 5.50391091e-05 5.50364605e-05 5.50429358e-05
 5.50391645e-05 5.50391645e-05 4.57039067e-05 5.59954168e-05
 5.50391645e-05 5.50391645e-05 5.50391645e-05 5.50391645e-05
 3.78107696e-05 5.51006758e-05 5.64986613e-05 5.60279924e-05
 5.42569675e-05 5.26974898e-05 5.50164584e-05 5.46136656e-05
 5.50391645e-05 5.50391645e-05]","[           nan            nan            nan            nan
 0.00000000e+00 2.23403114e-17 5.51775185e-17 0.00000000e+00
 1.10921513e-17 1.72735939e-17 1.08136632e-17 1.50402190e-17
 1.27221288e-17 9.66252900e-18 1.09888902e-17 1.01702850e-17
 0.00000000e+00 0.00000000e+00 5.09445242e-17 1.51489441e-17
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.45986708e-16 1.22471113e-17 2.61991774e-17 1.10857910e-17
 2.04514756e-17 1.35714751e-17 9.75295022e-18 2.24413767e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan 2.23403114e-17 5.51775185e-17 0.00000000e+00
 1.10921513e-17 1.72735939e-17 1.08136632e-17 1.50402190e-17
 1.27221288e-17 9.66252900e-18 1.09888902e-17 1.01702850e-17
 0.00000000e+00 0.00000000e+00 5.09445242e-17 1.51489441e-17
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.45986708e-16 1.22471113e-17 2.61991774e-17 1.10857910e-17
 2.04514756e-17 1.35714751e-17 9.75295022e-18 2.24413767e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
 1.10921513e-17 1.72735939e-17 1.08136632e-17 1.50402190e-17
 1.27221288e-17 9.66252900e-18 1.09888902e-17 1.01702850e-17
 0.00000000e+00 0.00000000e+00 5.09445242e-17 1.51489441e-17
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.45986708e-16 1.22471113e-17 2.61991774e-17 1.10857910e-17
 2.04514756e-17 1.35714751e-17 9.75295022e-18 2.24413767e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan 0.00000000e+00 5.09445242e-17 1.51489441e-17
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.45986708e-16 1.22471113e-17 2.61991774e-17 1.10857910e-17
 2.04514756e-17 1.35714751e-17 9.75295022e-18 2.24413767e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan 5.09445242e-17 1.51489441e-17
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.45986708e-16 1.22471113e-17 2.61991774e-17 1.10857910e-17
 2.04514756e-17 1.35714751e-17 9.75295022e-18 2.24413767e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.45986708e-16 1.22471113e-17 2.61991774e-17 1.10857910e-17
 2.04514756e-17 1.35714751e-17 9.75295022e-18 2.24413767e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan 0.00000000e+00 0.00000000e+00
 1.45986708e-16 1.22471113e-17 2.61991774e-17 1.10857910e-17
 2.04514756e-17 1.35714751e-17 9.75295022e-18 2.24413767e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan 0.00000000e+00
 1.45986708e-16 1.22471113e-17 2.61991774e-17 1.10857910e-17
 2.04514756e-17 1.35714751e-17 9.75295022e-18 2.24413767e-17
 0.00000000e+00 0.00000000e+00]","[           nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
            nan            nan            nan            nan
 1.45986708e-16 1.22471113e-17 2.61991774e-17 1.10857910e-17
 2.04514756e-17 1.35714751e-17 9.75295022e-18 2.24413767e-17
 0.00000000e+00 0.00000000e+00]","[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan  0.]","[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan]","[       nan        nan 0.00033723 0.00033715 0.00033715 0.00035631
 0.00034414 0.00033715 0.00033714 0.00033818 0.00033684 0.00034018
 0.00033715 0.00033715 0.00033749 0.00033712 0.00033715 0.00033715
 0.00035462 0.00034282 0.00033715 0.00033715 0.00033715 0.00033715
 0.00039511 0.00033595 0.00032576 0.00034073 0.00034072 0.00034203
 0.00033677 0.00034535 0.00033715 0.00033715]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan 0.00019649 0.00019693 0.00019647 0.00019649 0.00019649
 0.00018787 0.00020231 0.00019649 0.00019649 0.00019649 0.00019649
 0.0001942  0.00019824 0.00020172 0.00019539 0.00019783 0.00019825
 0.00019631 0.00019646 0.00019649 0.00019649]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan 0.00284259 0.00284213 0.00284213
 0.00248806 0.00280814 0.00284213 0.00284213 0.00284213 0.00284213
 0.00330125 0.00279011 0.00282138 0.00283955 0.0029656  0.00290287
 0.00284334 0.00311892 0.00284213 0.00284213]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan 0.00128186 0.00126559 0.00126559]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan 0.01700372 0.01767045
 0.01730887 0.01766726 0.01730697 0.01730697]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan 0.02782498 0.02782498 0.02782498 0.02782498
 0.04044064 0.02774378 0.02661934 0.0282541  0.02735789 0.02806051
 0.0278521  0.02786927 0.02782498 0.02782498]","[       nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan 0.05202287 0.05353812 0.05163765
 0.05177721 0.05227743 0.0518275  0.0518275 ]"
